video_id,views,likes,like_rate
Video_001,30200,1477,0.0489072848
Video_002,6696,424,0.0633213859
Video_003,99700,3924,0.0393580742
Video_004,9224,476,0.0516045100
Video_005,8037,518,0.0644519099
Video_006,8385,525,0.0626118068
Video_007,47000,1433,0.0304893617
Video_008,29100,660,0.0226804124
Video_009,25400,738,0.0290551181
Video_010,16700,677,0.0405389222
Video_011,62200,2082,0.0334726688
Video_012,3028,197,0.0650594452
Video_013,12600,440,0.0349206349
Video_014,5454,209,0.0383204987
Video_015,2835,188,0.0663139330
Video_016,5511,301,0.0546180367
Video_017,5515,290,0.0525838622
Video_018,2684,126,0.0469448584
Video_019,2909,164,0.0563767618
Video_020,35100,1026,0.0292307692
Video_021,14300,569,0.0397902098
Video_022,8692,425,0.0488955361
Video_023,8835,307,0.0347481607
Video_024,9421,433,0.0459611506
Video_025,4752,261,0.0549242424
Video_026,45100,1718,0.0380931264
Video_027,3535,168,0.0475247525
Video_028,17000,851,0.0500588235
Video_029,3620,219,0.0604972376
Video_030,12100,507,0.0419008264
Video_031,5278,413,0.0782493369
Video_032,10300,717,0.0696116505
Video_033,13600,886,0.0651470588
Video_034,4329,332,0.0766920767
Video_035,6228,435,0.0698458574
Video_036,5322,334,0.0627583615
Video_037,12100,755,0.0623966942
Video_038,41000,1279,0.0311951220
Video_039,11700,568,0.0485470085
Video_040,8268,619,0.0748669569
Video_041,31200,826,0.0264743590
Video_042,32300,1217,0.0376780186
Video_043,3404,162,0.0475910693
Video_044,3684,231,0.0627035831
Video_045,3320,231,0.0695783133
Video_046,7971,592,0.0742692259
Video_047,6141,383,0.0623676926
Video_048,2375,116,0.0488421053
Video_049,5761,476,0.0826245443
Video_050,12100,605,0.0500000000
Video_051,3592,294,0.0818485523
Video_052,4876,301,0.0617309270
Video_053,5843,328,0.0561355468
Video_054,8946,464,0.0518667561
Video_055,3685,263,0.0713704206
Video_056,3003,175,0.0582750583
Video_057,3793,224,0.0590561561
Video_058,12200,662,0.0542622951
Video_059,3867,230,0.0594776312
Video_060,4878,326,0.0668306683
Video_061,3661,169,0.0461622508
Video_062,8171,350,0.0428344144
Video_063,484000,12200,0.0252066116
Video_064,3344,178,0.0532296651
Video_065,12100,486,0.0401652893
Video_066,15400,758,0.0492207792
Video_067,95500,1191,0.0124712042
Video_068,1000000,15500,0.0155000000
Video_069,7866,438,0.0556826850
Video_070,14000,447,0.0319285714
Video_071,19500,792,0.0406153846
Video_072,235100,4943,0.0210250957
Video_073,5597,180,0.0321600858
Video_074,11900,466,0.0391596639
Video_075,78100,1045,0.0133802817
Video_076,28400,754,0.0265492958
Video_077,33000,1211,0.0366969697
Video_078,19300,810,0.0419689119
Video_079,11400,690,0.0605263158
Video_080,630500,15800,0.0250594766
Video_081,28400,1067,0.0375704225
Video_082,364500,16200,0.0444444444
Video_083,61400,2979,0.0485179153
Video_084,24900,1191,0.0478313253
Video_085,21400,779,0.0364018692
Video_086,995600,34300,0.0344515870
Video_087,90000,2649,0.0294333333
Video_088,35000,1593,0.0455142857
Video_089,11700,413,0.0352991453
Video_090,48900,1569,0.0320858896
Video_091,8644,209,0.0241786210
Video_092,91000,1622,0.0178241758
Video_093,20300,478,0.0235467980
Video_094,36000,1303,0.0361944444
Video_095,68600,1815,0.0264577259
Video_096,191400,5913,0.0308934169
Video_097,11200,322,0.0287500000
Video_098,11800,230,0.0194915254
Video_099,16500,443,0.0268484848
Video_100,32800,767,0.0233841463
Video_101,17000,346,0.0203529412
Video_102,20800,487,0.0234134615
Video_103,50100,545,0.0108782435
